id,dept,gender,admit
1,A,Male,0
2,A,Male,1
3,A,Male,1
4,A,Male,1
5,A,Male,1
6,A,Male,1
7,A,Male,1
8,A,Male,1
9,A,Male,0
10,A,Male,1
11,A,Male,1
12,A,Male,1
13,A,Male,1
14,A,Male,0
15,A,Male,1
16,A,Male,1
17,A,Male,0
18,A,Male,0
19,A,Male,1
20,A,Male,1
21,A,Male,1
22,A,Male,1
23,A,Male,1
24,A,Male,1
25,A,Male,1
26,A,Male,1
27,A,Male,0
28,A,Male,1
29,A,Male,0
30,A,Male,1
31,A,Male,1
32,A,Male,1
33,A,Male,1
34,A,Male,0
35,A,Male,0
36,A,Male,1
37,A,Male,1
38,A,Male,1
39,A,Male,1
40,A,Male,1
41,A,Male,0
42,A,Male,1
43,A,Male,1
44,A,Male,0
45,A,Male,1
46,A,Male,0
47,A,Male,1
48,A,Male,1
49,A,Male,1
50,A,Male,1
51,A,Male,1
52,A,Male,1
53,A,Male,0
54,A,Male,0
55,A,Male,1
56,A,Male,0
57,A,Male,1
58,A,Male,1
59,A,Male,1
60,A,Male,0
61,A,Male,0
62,A,Male,1
63,A,Male,1
64,A,Male,1
65,A,Male,1
66,A,Male,1
67,A,Male,1
68,A,Male,0
69,A,Male,1
70,A,Male,0
71,A,Male,0
72,A,Male,0
73,A,Male,1
74,A,Male,1
75,A,Male,1
76,A,Male,1
77,A,Male,0
78,A,Male,1
79,A,Male,1
80,A,Male,0
81,A,Male,1
82,A,Male,0
83,A,Male,1
84,A,Male,1
85,A,Male,0
86,A,Male,1
87,A,Male,0
88,A,Male,1
89,A,Male,1
90,A,Male,0
91,A,Male,0
92,A,Male,1
93,A,Male,1
94,A,Male,0
95,A,Male,0
96,A,Male,0
97,A,Male,1
98,A,Male,0
99,A,Male,1
100,A,Male,1
101,A,Male,1
102,A,Male,1
103,A,Male,0
104,A,Male,0
105,A,Male,0
106,A,Male,0
107,A,Male,1
108,A,Male,1
109,A,Male,1
110,A,Male,0
111,A,Male,0
112,A,Male,0
113,A,Male,1
114,A,Male,1
115,A,Male,0
116,A,Male,0
117,A,Male,1
118,A,Male,1
119,A,Male,0
120,A,Male,1
121,A,Male,1
122,A,Male,1
123,A,Male,1
124,A,Male,0
125,A,Male,1
126,A,Male,0
127,A,Male,1
128,A,Male,1
129,A,Male,0
130,A,Male,0
131,A,Male,0
132,A,Male,0
133,A,Male,0
134,A,Male,1
135,A,Male,0
136,A,Male,1
137,A,Male,0
138,A,Male,1
139,A,Male,1
140,A,Male,0
141,A,Male,1
142,A,Male,1
143,A,Male,1
144,A,Male,0
145,A,Male,0
146,A,Male,1
147,A,Male,0
148,A,Male,1
149,A,Male,0
150,A,Male,1
151,A,Male,0
152,A,Male,0
153,A,Male,1
154,A,Male,1
155,A,Male,1
156,A,Male,0
157,A,Male,0
158,A,Male,1
159,A,Male,1
160,A,Male,1
161,A,Male,0
162,A,Male,0
163,A,Male,0
164,A,Male,0
165,A,Male,1
166,A,Male,0
167,A,Male,0
168,A,Male,0
169,A,Male,1
170,A,Male,1
171,A,Male,0
172,A,Male,0
173,A,Male,0
174,A,Male,0
175,A,Male,0
